Page_ID,Content_Name,Content_URL,Content_Pattern,Marker_ID,Active(YES/NO),Cobrowse_Suppressed(YES/NO),Non-matching_page(YES/NO)
36212825,ATT-ANR-Portal-O-CreditAdjustmentRequest,http://wiwauk4coldfw02.itservices.sbc.com:83/changeAcct_index.cfm?whereami=chgAcctInfo,(.*)(wiwauk4cold|ebizweb.stage)(.*)/changeAcct_index.cfm(.*),ATT-ANR-Portal-O-CreditAdjustmentRequest,yes,no,no
36212826,ATT-ANR-Portal-O-CreditAdjustments,http://wiwauk4coldfw02.itservices.sbc.com:83/_groups/ANR/?module=creditAdjustments&whereami=chgAcctInfo,(.*)(wiwauk4cold|ebizweb.stage)(.*)/_groups/ANR(.*)creditAdjustments(.*),ATT-ANR-Portal-O-CreditAdjustments,yes,no,no
36212827,ATT-ANR-Portal-O-DemoDeviceTracker,http://wiwauk4coldfw02.itservices.sbc.com:83/COR/viewEquipment.cfm?bc=corEquipView&whereami=corEquip,(.*)(wiwauk4cold|ebizweb.stage)(.*)/COR/viewEquipment.cfm(.*),ATT-ANR-Portal-O-DemoDeviceTracker,yes,no,no
36212828,ATT-ANR-Portal-O-DeviceInformation,https://www.cingular.com/support/content.do?page=phone-device-support,(.*)cingular(.*)/support/content.do.page=phone-device-support(.*),ATT-ANR-Portal-O-DeviceInformation,yes,no,no
36212829,ATT-ANR-Portal-O-DirectPushDevices,http://wiwauk4coldfw02.itservices.sbc.com:83/shop.cfm?bc=eqCatalogDP&filter=DPDevice,(.*)(wiwauk4cold|ebizweb.stage)(.*)/shop.cfm(.*)DPDevice(.*),ATT-ANR-Portal-O-DirectPushDevices,yes,no,no
36212830,ATT-ANR-Portal-O-DobsonMigration,http://wiwauk4coldfw02.itservices.sbc.com:83/couactivation_bulk.cfm?bc=actDobMig,(.*)(wiwauk4cold|ebizweb.stage)(.*)/couactivation_bulk.cfm(.*)actDobMig(.*),ATT-ANR-Portal-O-DobsonMigration,yes,no,no
36212831,ATT-ANR-Portal-O-Equipmentnolongerused,http://wiwauk4coldfw02.itservices.sbc.com:83/equipEOL.cfm?bc=eqNotUsed,(.*)(wiwauk4cold|ebizweb.stage)(.*)/equipEOL.cfm(.*)eqNotUsed(.*),ATT-ANR-Portal-O-Equipmentnolongerused,yes,no,no
36212832,ATT-ANR-Portal-O-FAQs,http://wiwauk4coldfw02.itservices.sbc.com:83/view/help.cfm,(.*)(wiwauk4cold|ebizweb.stage)(.*)/view/help.cfm(.*),ATT-ANR-Portal-O-FAQs,yes,no,no
36212833,ATT-ANR-Portal-O-FeatureAddRemove,http://wiwauk4coldfw02.itservices.sbc.com:83/_groups/ANR/?module=featureAddRem&whereami=feaAddRem,(.*)(wiwauk4cold|ebizweb.stage)(.*)/_groups/ANR(.*)featureAddRem(.*),ATT-ANR-Portal-O-FeatureAddRemove,yes,no,no
36212834,ATT-ANR-Portal-O-FeaturesPlans,http://wiwauk4coldfw02.itservices.sbc.com:83/_groups/ANR/?module=features_splash&whereami=feaAddRem,(.*)(wiwauk4cold|ebizweb.stage)(.*)/_groups/ANR(.*)features_splash(.*),ATT-ANR-Portal-O-FeaturesPlans,yes,no,no
36212835,ATT-ANR-Portal-O-GoodlinkDevices,http://wiwauk4coldfw02.itservices.sbc.com:83/shop.cfm?bc=eqCatalogGES&filter=GESDevice,(.*)(wiwauk4cold|ebizweb.stage)(.*)/shop.cfm(.*)eqCatalogGES(.*)GESDevice(.*),ATT-ANR-Portal-O-GoodlinkDevices,yes,no,no
